dataset,reuse_target,actual_reuse,main_memory_gb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
hotpotqa,1.42,1.4196197122714767,4,dram_lfu,DRAM LFU,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,4,opt,OPT,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,8,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,8,dram_lfu,DRAM LFU,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,8,opt,OPT,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,16,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,16,dram_lfu,DRAM LFU,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,16,opt,OPT,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
scidocs,1.73,1.7295502304625683,1,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,1,dram_lfu,DRAM LFU,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,1,opt,OPT,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,2,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,2,dram_lfu,DRAM LFU,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,2,opt,OPT,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,4,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,4,dram_lfu,DRAM LFU,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
