dataset,reuse_target,actual_reuse,main_memory_gb,global_buffer_mb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
hotpotqa,1.42,1.4196197122714767,1,128,lfu_l1_l2,LFU L1/L2,150319,145267,704414,0.295586,0.150319,0.145267,0.704414,55.294553649920005,70442.83779317263,552.9455364992,704.4283779317263
hotpotqa,1.42,1.4196197122714767,1,128,opt_two_tier,OPT L1/L2,182858,112728,704414,0.295586,0.182858,0.112728,0.704414,53.88911874944,70442.79709292507,538.8911874943999,704.4279709292508
hotpotqa,1.42,1.4196197122714767,2,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,2,128,lfu_l1,LFU L1 (SRAM),150319,0,849681,0.150319,0.150319,0.0,0.849681,56.74722364992,84969.53779317264,567.4722364992,849.6953779317264
hotpotqa,1.42,1.4196197122714767,2,128,lfu_l2,LFU L2 (DRAM),0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,2,128,lfu_l1_l2,LFU L1/L2,150319,145267,704414,0.295586,0.150319,0.145267,0.704414,55.294553649920005,70442.83779317263,552.9455364992,704.4283779317263
hotpotqa,1.42,1.4196197122714767,2,128,opt_two_tier,OPT L1/L2,182858,112728,704414,0.295586,0.182858,0.112728,0.704414,53.88911874944,70442.79709292507,538.8911874943999,704.4279709292508
hotpotqa,1.42,1.4196197122714767,4,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,4,128,lfu_l1,LFU L1 (SRAM),150319,0,849681,0.150319,0.150319,0.0,0.849681,56.74722364992,84969.53779317264,567.4722364992,849.6953779317264
hotpotqa,1.42,1.4196197122714767,4,128,lfu_l2,LFU L2 (DRAM),0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
